time,temperature_2m (°C),precipitation (mm),wind_speed_10m (km/h),relative_humidity_2m (%),weather_code (wmo code)
2024-01-08T03:00,2.5,0,18.9,74,0
2024-01-08T04:00,2.4,0,20.1,74,0
2024-01-08T05:00,2.2,0,19.6,75,0
2024-01-08T06:00,2.1,0,18.3,77,0
2024-01-08T07:00,1.8,0,16.8,78,0
2024-01-08T08:00,1.4,0,15,80,0
2024-01-08T09:00,3.5,0,8.9,72,1
2024-01-08T10:00,4.5,0,7.9,72,0
2024-01-08T11:00,5.8,0,10.9,68,1
2024-01-08T12:00,7,0,11.4,60,1
2024-01-08T13:00,7.8,0,8.8,53,2
2024-01-08T14:00,8.5,0,4.9,50,2
2024-01-08T15:00,8.6,0,1.4,50,2
2024-01-08T16:00,8.5,0,3.2,50,3
2024-01-08T17:00,7.8,0,3,58,1
2024-01-08T18:00,4.7,0,7.6,69,0
2024-01-08T19:00,4.6,0,6.8,64,2
2024-01-08T20:00,2.7,0,8.4,74,2
2024-01-08T21:00,1.6,0,7.5,80,1
2024-01-08T22:00,1,0,7.1,81,1
2024-01-08T23:00,0.3,0,6.9,82,3
2024-01-09T00:00,0.2,0,7.6,80,3
2024-01-09T01:00,1.1,0,8.7,70,3
2024-01-09T02:00,1.4,0,9.2,70,3
2024-01-09T03:00,1.1,0,8.9,81,3
2024-01-09T04:00,1.3,0,9,87,3
2024-01-09T05:00,2.3,0,11.5,85,3
2024-01-09T06:00,2.9,0,12.3,84,3
2024-01-09T07:00,3.4,0,13.5,84,3
2024-01-09T08:00,4.3,0,15.6,79,3
2024-01-09T09:00,3.8,0.8,17.3,88,53
2024-01-09T10:00,4.8,1.4,19.4,90,61
2024-01-09T11:00,5.6,2.2,21.4,91,61
2024-01-09T12:00,6.5,3.4,22.5,91,63
2024-01-09T13:00,7.5,2.5,24.6,92,63
2024-01-09T14:00,8.8,2,30,92,61
2024-01-09T15:00,9.9,2.1,32,93,61
2024-01-09T16:00,11.1,3.5,33.4,92,63
2024-01-09T17:00,11.9,2.8,34,92,63
2024-01-09T18:00,12.5,1.3,36.3,93,61
2024-01-09T19:00,13.1,1.6,34.3,93,61
2024-01-09T20:00,13.8,6.2,38,92,63
2024-01-09T21:00,13.2,6,14.5,96,63
2024-01-09T22:00,14,2.5,20.5,95,63
2024-01-09T23:00,15,0.1,26.3,90,51
2024-01-10T00:00,14.5,0.1,21.6,91,51
2024-01-10T01:00,13,0.1,21.9,91,51
2024-01-10T02:00,11.8,0,19.6,92,0
2024-01-10T03:00,10.5,0,17.9,90,1
2024-01-10T04:00,8.7,0.3,18,91,51
2024-01-10T05:00,7.5,0,15.7,79,3
2024-01-10T06:00,7.3,0,13.4,78,3
2024-01-10T07:00,6.7,0.2,15.8,83,51
2024-01-10T08:00,6.1,0,17,76,0
2024-01-10T09:00,6.3,0.1,20.5,71,51
2024-01-10T10:00,7.5,0,20.3,64,1
2024-01-10T11:00,8.4,0,21,53,0
2024-01-10T12:00,9.1,0,28.5,45,3
2024-01-10T13:00,9.1,0,30.3,43,2
2024-01-10T14:00,8.6,0,29.2,44,2
2024-01-10T15:00,8.9,0,27.8,44,2
2024-01-10T16:00,8.9,0,24.9,44,1
2024-01-10T17:00,7.9,0,21.6,47,0
2024-01-10T18:00,6.6,0,15.5,50,1
2024-01-10T19:00,5.6,0,13.7,53,3
2024-01-10T20:00,4.5,0,10.1,58,0
2024-01-10T21:00,4.4,0,8.7,63,0
2024-01-10T22:00,4.4,0,10.7,62,2
2024-01-10T23:00,4.6,0,11.3,61,0
2024-01-11T00:00,3.7,0,10.1,65,0
2024-01-11T01:00,2.8,0,9.7,70,0
2024-01-11T02:00,1.9,0,9.8,73,3
2024-01-11T03:00,1.9,0,9.4,73,1
2024-01-11T04:00,1,0,7.6,77,0
2024-01-11T05:00,0.1,0,6.6,82,0
2024-01-11T06:00,-0.7,0,5.9,87,0
2024-01-11T07:00,-1.5,0,7.7,89,0
2024-01-11T08:00,-2,0,6,90,0
2024-01-11T09:00,0.4,0,5.1,87,0
2024-01-11T10:00,3,0,6.1,79,0
2024-01-11T11:00,5.3,0,7.6,69,0
2024-01-11T12:00,7,0,11.5,61,0
